Month,NDVI_Urbano,NDVI_Gestion,NDVI_Planificacion
1,0.216415959,0.238448747,0.3192745
2,0.198327095,0.23386443,0.282744193
3,0.211328372,0.234048739,0.312146052
4,0.187651563,0.21916596,0.272004422
5,0.170879978,0.207580368,0.247954704
6,0.179908875,0.215955727,0.255199774
7,0.235220304,0.250500903,0.3206782
8,0.284111829,0.266992581,0.384848046
9,0.31787806,0.285514865,0.441140413
10,0.307699109,0.285398578,0.436187277
11,0.279559733,0.273092604,0.408497232
12,0.261283284,0.264776796,0.387836347
