Year,AOD_median,AOD_p25,AOD_p75
2001,110.7222222,89.13356975,126.430106
2002,114.5,92.17475525,130.7438275
2003,130,104.652561,148.4427732
2004,114.423913,92.113504,130.6569458
2005,127.0578358,102.2840608,145.0832118
2006,122.7578125,98.82245675,140.173155
2007,116,93.38228525,132.4566287
2008,129.7115385,104.4203435,148.1133883
2009,115.7580409,93.18750325,132.1803435
2010,118.80081,95.6369925,135.6547822
2011,119.65,96.320607,136.6244448
2012,109.5357143,88.1784075,125.075271
2013,119.9791667,96.58559275,137.0003095
2014,115.4732143,92.9582125,131.8551092
2015,114.871875,92.47412225,131.168459
2016,115.8683333,93.27629075,132.3062828
2017,113.4605263,91.3379585,129.5568862
2018,114.2469136,91.97101625,130.454836
2019,120.4166667,96.937789,137.4998767
2020,123.3947368,99.3351935,140.9004382
2021,123.375,99.3193055,140.8779012
2022,129.6195652,104.3463033,148.0083675
2023,107.36,86.42691475,122.5908935
2024,122.7435897,98.81100725,140.1569147
2025,99.77941176,80.3243915,113.9348662
