Month,LST_mean,LST_p25,LST_p75,anio_actual
1.0,35.305000,33.919119,36.685568,35.134917
2.0,34.069549,32.847552,34.988054,36.993665
3.0,30.436704,29.322502,31.306605,30.436704
4.0,24.096235,22.544521,25.247353,25.286011
5.0,16.272503,15.207167,17.919560,-9999.000000
6.0,13.183925,12.709814,14.277927,-9999.000000
7.0,12.354387,11.886459,12.926426,-9999.000000
8.0,15.763444,14.069026,17.429737,-9999.000000
9.0,21.704357,20.213729,22.561404,-9999.000000
10.0,29.205838,27.399875,30.831839,-9999.000000
11.0,34.576946,31.630323,35.427051,-9999.000000
12.0,35.988220,34.054758,37.221809,-9999.000000
