Year,LST_mean,LST_p25,LST_p75
1997,24.295235,14.779771,30.41454625
1998,31.938136,14.678351,34.343346
1999,26.436891,13.158818,34.379164
2000,25.502850,16.92779575,34.364575
2001,29.562676,19.93657025,32.736143
2002,27.814009,14.2948175,32.753281
2003,27.562437,17.2106545,29.6226
2004,27.189059,14.6809095,31.82822
2005,26.809023,15.949237,33.00617
2006,24.184783,16.377536,28.622413
2007,23.319710,14.651614,29.80527
2008,34.689018,29.554251,35.5559935
2009,32.686422,24.932693,34.279463
2010,31.436266,22.65596625,33.55570625
2011,31.105061,15.99326775,32.9235105
2013,21.608973,15.9060685,32.717592
2014,25.437784,16.748813,33.121275
2015,27.564447,19.736539,32.9261925
2016,27.436975,20.4683,33.4746525
2017,28.187870,19.0956105,34.0771515
2018,27.813209,19.38991075,32.828862
2019,28.173261,16.09087425,33.173806
2020,27.500280,20.02899775,34.724803
2021,27.250318,16.07932025,34.0753345
2022,27.391171,15.335704,33.8986205
2023,20.218884,18.9807,32.344871
2024,28.438014,15.3886615,33.1553745
2025,27.064529,17.50743425,33.3586745
