Year,NDVI_Gestion,NDVI_Planificacion,NDVI_Urbano,NDVI_Gestion_p25,NDVI_Gestion_p75,NDVI_Planificacion_p25,NDVI_Planificacion_p75,NDVI_Urbano_p25,NDVI_Urbano_p75
2016.0,0.23,0.25,0.32,0.19,0.25,0.22,0.26,0.27,0.35
2017.0,0.24,0.26,0.33,0.21,0.25,0.22,0.31,0.24,0.40
2018.0,0.22,0.24,0.29,0.19,0.23,0.22,0.27,0.26,0.33
2019.0,0.21,0.22,0.23,0.19,0.21,0.20,0.23,0.21,0.26
2020.0,0.19,0.19,0.18,0.18,0.23,0.18,0.25,0.17,0.30
2021.0,0.20,0.22,0.22,0.18,0.22,0.19,0.23,0.20,0.24
2022.0,0.17,0.17,0.17,0.12,0.20,0.12,0.19,0.12,0.21
2023.0,0.16,0.17,0.19,0.09,0.21,0.09,0.22,0.09,0.24
2024.0,0.23,0.25,0.27,0.22,0.25,0.22,0.28,0.22,0.32
2025.0,0.24,0.26,0.28,0.22,0.26,0.24,0.29,0.25,0.34
