Year,Month,NO2_median
2019,1,10.447303
2019,2,10.761017
2019,3,11.699222
2019,4,13.731024
2019,5,17.984766
2019,6,19.841199
2019,7,20.876614
2019,8,14.956026
2019,9,12.852307
2019,10,11.538276
2019,11,10.652679
2019,12,10.484031
2020,1,9.811101
2020,2,10.105711
2020,3,10.986783
2020,4,12.894856
2020,5,16.889560
2020,6,18.632944
2020,7,19.605306
2020,8,14.045260
2020,9,12.069649
2020,10,10.835638
2020,11,10.003971
2020,12,9.845592
2021,1,10.496759
2021,2,10.811958
2021,3,11.754604
2021,4,13.796025
2021,5,18.069903
2021,6,19.935125
2021,7,20.975441
2021,8,15.026826
2021,9,12.913148
2021,10,11.592896
2021,11,10.703108
2021,12,10.533661
2022,1,10.674234
2022,2,10.994762
2022,3,11.953346
2022,4,14.029282
2022,5,18.375421
2022,6,20.272179
2022,7,21.330085
2022,8,15.280893
2022,9,13.131478
2022,10,11.788904
2022,11,10.884071
2022,12,10.711759
2023,1,9.833311
2023,2,10.128588
2023,3,11.011654
2023,4,12.924046
2023,5,16.927794
2023,6,18.675124
2023,7,19.649687
2023,8,14.077055
2023,9,12.096971
2023,10,10.860167
2023,11,10.026617
2023,12,9.867880
2024,1,10.216649
2024,2,10.523437
2024,3,11.440928
2024,4,13.427872
2024,5,17.587700
2024,6,19.403147
2024,7,20.415703
2024,8,14.625829
2024,9,12.568555
2024,10,11.283535
2024,11,10.417491
2024,12,10.252566
2025,1,10.227361
2025,2,10.534471
2025,3,11.452924
2025,4,13.441951
2025,5,17.606141
2025,6,19.423492
2025,7,20.437109
2025,8,14.641164
2025,9,12.581733
2025,10,11.295366
2025,11,10.428414
2025,12,10.263316
2026,1,10.227361
2026,2,10.534471
2026,3,11.452924
2026,4,13.441951
2026,5,17.606141
2026,6,19.423492
2026,7,20.437109
2026,8,14.641164
2026,9,12.581733
2026,10,11.295366
2026,11,10.428414
2026,12,10.263316
