Month,NO2_median,NO2_p25,NO2_p75,anio_actual
1,11.48255038,11.41075285,11.60850493,10.227361
2,11.82735099,11.66670027,11.96020787,10.534471
3,12.85852433,12.70807,13.1016495,11.452924
4,15.09166227,14.9267491,15.46210861,13.441951
5,19.76691697,19.60039643,19.89494408,-9999.000000
6,21.80730872,21.52425142,22.95787972,-9999.000000
7,22.94532552,22.55722977,23.23757028,-9999.000000
8,16.43805284,16.30259625,16.58198224,-9999.000000
9,14.12587081,13.87996555,14.32924102,-9999.000000
10,12.68162977,12.54109002,12.76823669,-9999.000000
11,11.70827766,11.56627288,11.86409859,-9999.000000
12,11.52291722,11.44965443,11.62694892,-9999.000000
