Year,mean
2001.0,82.6994848681456
2002.0,87.46659639788925
2003.0,89.76353551571994
2004.0,82.678840901042
2005.0,107.34897942009233
2006.0,91.5074364092866
2007.0,91.93084072290834
2008.0,101.4753358122197
2009.0,80.35135039852811
2010.0,91.8243865216445
2011.0,98.41519198922987
2012.0,81.74144887769424
2013.0,75.89914132231533
2014.0,90.7970296461954
2015.0,96.35008247489408
2016.0,73.50473701464625
2017.0,79.71178205513863
2018.0,77.11088788606935
2019.0,97.84008937820975
2020.0,102.83436391274529
2021.0,90.09411755636017
2022.0,88.34937021014707
2023.0,90.8279407786452
