Year,Month,NDVI
2016.0,1.0,-9999.0000
2016.0,2.0,-9999.0000
2016.0,3.0,-9815.2064
2016.0,4.0,-0.0179
2016.0,5.0,-9999.0000
2016.0,6.0,-9999.0000
2016.0,7.0,-9999.0000
2016.0,8.0,-1880.0006
2016.0,9.0,0.1440
2016.0,10.0,0.0590
2016.0,11.0,0.0401
2016.0,12.0,-0.0027
2017.0,1.0,-0.0884
2017.0,2.0,-0.0433
2017.0,3.0,-0.0570
2017.0,4.0,-0.0473
2017.0,5.0,-0.0136
2017.0,6.0,0.0553
2017.0,7.0,0.1046
2017.0,8.0,0.1259
2017.0,9.0,0.1616
2017.0,10.0,0.1326
2017.0,11.0,0.0744
2017.0,12.0,0.0280
2018.0,1.0,0.0082
2018.0,2.0,-0.0680
2018.0,3.0,-0.0075
2018.0,4.0,-0.0304
2018.0,5.0,-0.0548
2018.0,6.0,-0.0271
2018.0,7.0,0.0204
2018.0,8.0,0.0487
2018.0,9.0,0.0780
2018.0,10.0,0.0756
2018.0,11.0,0.0302
2018.0,12.0,-0.0027
2019.0,1.0,-0.0598
2019.0,2.0,-0.0410
2019.0,3.0,-0.0534
2019.0,4.0,-0.0875
2019.0,5.0,-0.1046
2019.0,6.0,-0.0646
2019.0,7.0,-0.0404
2019.0,8.0,0.0354
2019.0,9.0,0.0247
2019.0,10.0,-0.0189
2019.0,11.0,-0.0542
2019.0,12.0,-0.0794
2020.0,1.0,-0.1036
2020.0,2.0,-0.0994
2020.0,3.0,-0.1118
2020.0,4.0,-0.1208
2020.0,5.0,-0.1297
2020.0,6.0,-5509.6564
2020.0,7.0,-0.1117
2020.0,8.0,0.0264
2020.0,9.0,0.0444
2020.0,10.0,0.0406
2020.0,11.0,0.0020
2020.0,12.0,-0.0218
2021.0,1.0,-0.0468
2021.0,2.0,-0.0678
2021.0,3.0,-0.1070
2021.0,4.0,-0.0731
2021.0,5.0,-0.0972
2021.0,6.0,-0.1231
2021.0,7.0,-0.0790
2021.0,8.0,-0.0538
2021.0,9.0,0.0084
2021.0,10.0,-0.0144
2021.0,11.0,-0.0456
2021.0,12.0,-0.0713
2022.0,1.0,-0.0913
2022.0,2.0,-0.1093
2022.0,3.0,-0.1375
2022.0,4.0,-0.1176
2022.0,5.0,-0.1808
2022.0,6.0,-0.2098
2022.0,7.0,-0.0117
2022.0,8.0,-0.2653
2022.0,9.0,-0.0833
2022.0,10.0,-0.0679
2022.0,11.0,-0.1449
2022.0,12.0,-0.0305
2023.0,1.0,-0.0510
2023.0,2.0,-0.0779
2023.0,3.0,-0.0719
2023.0,4.0,-0.2102
2023.0,5.0,-0.1773
2023.0,6.0,-0.1642
2023.0,7.0,-0.2591
2023.0,8.0,0.0476
2023.0,9.0,-0.2447
2023.0,10.0,-0.1204
2023.0,11.0,-0.0496
2023.0,12.0,-0.0048
2024.0,1.0,-0.2767
2024.0,2.0,-0.0605
2024.0,3.0,-0.0668
2024.0,4.0,-0.0727
2024.0,5.0,-0.0768
2024.0,6.0,-0.0214
2024.0,7.0,0.0036
2024.0,8.0,0.0648
2024.0,9.0,0.0863
2024.0,10.0,0.0615
2024.0,11.0,0.0051
2024.0,12.0,-0.0117
2025.0,1.0,-0.0285
2025.0,2.0,-0.0424
2025.0,3.0,-0.0478
2025.0,4.0,-0.0407
2025.0,5.0,-0.0302
2025.0,6.0,0.0022
2025.0,7.0,0.0333
2025.0,8.0,0.0979
2025.0,9.0,0.1296
2025.0,10.0,0.0793
2025.0,11.0,-0.0079
2025.0,12.0,-0.0060
2026.0,1.0,-0.0338
2026.0,2.0,-0.0280
2026.0,3.0,-0.0447
